time,cell_id,generation,type,effect_size,mutation_string
31,12,3,down,0.0,Plk1_rate_down_0
31,12,3,down,0.0,Plk1_rate_down_0
31,12,3,down,0.0,Plk1_rate_down_0
31,13,2,down,0.0,Plk1_rate_down_0
31,13,2,down,0.0,Plk1_rate_down_0
31,13,2,down,0.0,Plk1_rate_down_0
31,14,1,down,0.0,Plk1_rate_down_0
31,14,1,down,0.0,Plk1_rate_down_0
31,14,1,down,0.0,Plk1_rate_down_0
32,0,0,down,0.0,Plk1_rate_down_0
32,0,0,down,0.0,Plk1_rate_down_0
32,0,0,down,0.0,Plk1_rate_down_0
32,2,1,down,0.0,Plk1_rate_down_0
32,2,1,down,0.0,Plk1_rate_down_0
32,2,1,down,0.0,Plk1_rate_down_0
32,3,1,down,0.0,Plk1_rate_down_0
32,3,1,down,0.0,Plk1_rate_down_0
32,3,1,down,0.0,Plk1_rate_down_0
32,4,2,down,0.0,Plk1_rate_down_0
32,4,2,down,0.0,Plk1_rate_down_0
32,4,2,down,0.0,Plk1_rate_down_0
32,5,2,down,0.0,Plk1_rate_down_0
32,5,2,down,0.0,Plk1_rate_down_0
32,5,2,down,0.0,Plk1_rate_down_0
32,6,1,down,0.0,Plk1_rate_down_0
32,6,1,down,0.0,Plk1_rate_down_0
32,7,2,down,0.0,Plk1_rate_down_0
32,7,2,down,0.0,Plk1_rate_down_0
32,8,2,down,0.0,Plk1_rate_down_0
32,8,2,down,0.0,Plk1_rate_down_0
32,9,1,down,0.0,Plk1_rate_down_0
32,9,1,down,0.0,Plk1_rate_down_0
32,10,2,down,0.0,Plk1_rate_down_0
32,10,2,down,0.0,Plk1_rate_down_0
32,10,2,down,0.0,Plk1_rate_down_0
32,11,3,down,0.0,Plk1_rate_down_0
32,11,3,down,0.0,Plk1_rate_down_0
32,11,3,down,0.0,Plk1_rate_down_0
32,12,3,down,0.0,Plk1_rate_down_0
32,12,3,down,0.0,Plk1_rate_down_0
32,12,3,down,0.0,Plk1_rate_down_0
32,13,2,down,0.0,Plk1_rate_down_0
32,13,2,down,0.0,Plk1_rate_down_0
32,13,2,down,0.0,Plk1_rate_down_0
32,14,1,down,0.0,Plk1_rate_down_0
32,14,1,down,0.0,Plk1_rate_down_0
32,14,1,down,0.0,Plk1_rate_down_0
32,15,2,down,0.0,Plk1_rate_down_0
32,15,2,down,0.0,Plk1_rate_down_0
33,0,0,down,0.0,Plk1_rate_down_0
